普通中文,客家汉字,Hakka Pronunciation,English Definition
(別客氣，)再吃一碗。,食多碗添,sit6 do1 von3 tiam1,"(help yourself, ) Eat one more bowl"
(別忙，)再坐一會兒。,坐多陣正,co1 do1 cin4 zang4,"(No hurry,) stay longer!"
(別忙，)再坐一會兒。,坐多陣添,co1 do1 cin4 tiam1,"(No hurry,) stay longer!"
拿得動拿不動？,拿得起還係拿唔起,la1 det5 hi3 han2 he4 la1 m1 hi3,Can you carry it or not?
拿得動。,拿得動,la1 det5 tung1,Can carry it
(這麼大的雨，他)能來不能來？,佢來唔來倒,gi2 loi2 m1 loi2 dau3,(the rain is so heavy) can he come or not?
(你)去沒去他家？,有冇去佢屋家,yiu1 mau2 hi4 gia1 vuk5 ka1,Have you been this home?
(我)去了。,去嗨,hi4 hoi1,(I) have been there
(他病了，)不能喝酒。,唔食得酒,m1 sit6 det5 ziu3,"(he is sick ,and) not allowed to drink"
(他腰不好，)不能久坐。,坐唔得久,co1 m1 det5 giu3,(Because of pain he) cannot sit long
外面在下雨。,門背落等水,mun2 boi4 lok6 den3 sui3,It is raining outside
坐著吃。,坐等來食,co1 den3 loi2 sit6,Sit while eating
門開著。,門開嗨,mun2 hoi1 hoi1,The door is open
站著別動！,徛等唔好動,gi1 den3 m1 hau3 tung1,Stand there and do not move
別打岔，讓他說下去！,唔好插嘴，分佢講落去,m1 hau3 cap5 zui3 bin1 gi2 gong3 lok6 hi4,"Do not disrupt, let him say on"
(別等了)先把火燒起來！,將火燒起來正,ziong1 fo3 sau1 hi3 loi2 zang4,"(do not wait), let’s make the fire first!"
我去過廣州，也去過上海。,厓去過廣州，又去過上海,"ngai2 hi4 go4 gong3 ziu1 ,yiu4 hi4 go4 song4 hoi3","I’ve been Guangzhou, and also Shanghai"
(這件事)我告訴過他。,厓講過分佢知,ngai2 gong3 go4 bin1 gi2 di1,I have told him (this)
花開了兩朵了。,花開嗨兩朵咯,fa1 hoi1 hoi1 liong3 do3 lo3,The flower blossomed two
(別忙，)吃了飯再說。,食嗨飯正來講,sit6 hoi1 fan4 zang4 loi2 gong3,"(No hurry),discuss this after meal"
把門關上！,閂嗨門佢,san1 hoi1 mun2 gi2,Shut the door
把蓋子擰緊！,扭恒該蓋佢,ngiu3 hen2 ai4 goi4 gi2,Screw the lid tightly!
把飯吃了！,將該飯食秋佢,ziong1 ai4 fan4 sit6 ciu1 gi2,Eat up the food!
(你)別把我的碗打破了。,唔好打爛吾嘅碗,m1 hau3 da3 lan4 nga2 ge4 von3,Do not break my bowl!
(咱們)去看電影吧！,來去看電影咯,loi2 hi4 kon4 tien4 yang3 lo3,(let’s) go to watch movie
(他們)去看電影了。,去看電影去嗨,hi4 kon4 tien4 yang3 hi4 hoi1,(they) went to watch movie
(論年紀，)我比他大。,厓大過佢,ngai1 tai4 go4 gi2,"(as for age), I am older than him"
我比他大一歲。,厓大佢一歲,ngai2 tai4 gi2 yit5 soi4,I am one year older than him
我不比他大。,厓大唔過佢,ngai2 tai4 m1 go4 gi2,I am not older than him
兩個一樣高。,兩隻一樣高,liong3 zak5 yit5 yong4 gau1,The two are of the same height
說著說著就哭起來了。,講下講下就叫起來,gong3 ha4 gong3 ha4 ciu4 giau4 hi3 loi2,He is crying while speaking
(不讓他去，)他非要去不可。,"唔分佢去，佢係愛去,",m1 bin1 gi2 hi4 gi1 he4 oi4 hi4,He insists to go
艺术,美藝術,mui1 ngi4 sut6,Art
艺术家,美藝術家,mui1 ngi4 sut6 ga1,artist
一点钟,一點鐘,yit5 diam3 zung1,1 o'clock
二点钟,兩點鐘,liong3 diam3 zung1,2 o'clock
三点钟,三點鐘,sam1 diam3 zung1,3 o'clock
七点二十五分,七點搭五,cit5 diam3 dap5 ng3,twenty five past seven
将近七点二十五分,就七點搭五,ciu4 cit5 diam3 dap5 ng3,nearly twenty five past seven
七点二十五分刚过,整過七點搭五,zang4 go4 cit5 diam3 dap5 ng3,just after twenty five past seven
分钟,分鐘,fun1 zung1,minute
星期日,禮拜,li1 bai4,Sunday
周一,禮拜一,li1 bai4 yit5,Monday
周二,禮拜二,li1 bai4 ngi4,Tuesday
周三,禮拜三,li1 bai4 sam1,Wednesday
周四,禮拜四,li1 bai4 si4,Thursday
星期五,禮拜五,li1 bai4 ng3,Friday
周六,禮拜六,li1 bai4 luk5,Saturday
就到,就到,ciu4 dau4,nearly approaching
刚刚过去,過滴,go4 dit6,just gone past
一,一,yit5,one
二,二,ngi4,two
三,三,sam1,three
四,四,si4,four
五,五,ng3,five
六,六,luk5,six
七,七,cit5,seven
八,八,bat5,eight
九,九,giu3,nine
十,十,sip6,ten
十一,十一,sip6 yit5,eleven
十二,十二,sip6 ngi4,twelve
十三,十三,sip6 sam1,thirteen
十四,十四,sip6 si4,fourteen
十五,十五,sip6 ng3,fifteen
十六,十六,sip6 luk5,sixteen
十七,十七,sip6 cit5,seventeen
十八,十八,sip6 bat5,eighteen
十九,十九,sip6 giu3,nineteen
二十,二十,ngi4 sip6,twenty
二十一,二十一,ngi4 sip6 yit5,twenty one
二十二,二十二,ngi4 sip6 ngi4,twenty two
二十三,二十三,ngi4 sip6 sam1,twenty three
三十,三十,sam1 sip6,thirty
四十,四十,si4 sip6,fourty
五十,五十,ng3 sip6,fifty
六十,六十,luk5 sip6,sixty
七十,七十,cit5 sip6,seventy
八十,八十,bat5 sip6,eighty
九十,九十,giu3 sip6,ninety
百,百,bak5,hundred
二百,二百,ngi4 bak5,200
三百,三百,sam1 bak5,300
一千,一千,yit5 cien1,1000
二千,二千,ngi4 cien1,2000
一万,一萬,yit5 man4,"10,000"
十万,十萬,sip6 man4,"100,000"
一百万,一百萬,yit5 bak5 man4,"1,000,000"
一千万,一千萬,yit5 cien1 man4,"10,000,000"
一亿,一億,yit5 yi4,"100,000,000"
十亿,十億,sip6 yi4,"1,000,000,000"
一百亿,一百億,yit5 bak5 yi4,"10,000,000,000"
一千亿,一千億,yit5 cien1 yi4,"100,000,000,000"
一兆,一兆,yit5 cau4,"1,000,000,000,000"
号,號,hau4,"number (train, bus, etc.)"
